ID_neurona,rata,sesion,mean_rate,std_rate,firing_rate,ISI_peak_time,ISI_index,ISI_ratio,CV,CV2,peak_time_ccg,potencia_tot,ancho_banda,frec_dominante,pot_frec_dominante,pot_rango_freq,AUC,AUC_depol,AUC_repol,AUC_asimetria,wf_invertida,asimetria,value_min,value_max_1,value_max_2,duracion,dur_1max_min,dur_2max_min,dur_1max_2max,pendiente_depol,pendiente_repol,proporcion_energia,clu_metric_error,tetrodo,type,calidad,estructura,estructura_fina,m_pre,m_post,DA,ISI_time,ID,peak_ratio,peak_amplitude,slope_ratio,power_ratio,AUC_tiempo_tot
492,15,12,0.423111714861242,0.295860545823055,0.126837194546259,192.0,4.42241968557758,0.0047281323877068,1.15,1.07,3.0,2008971.36,7017.54,1363,286.24,769373.01,1510506.57,1.38,1.44,1.04,0,3.77580498875029,-0.577148744094775,2.58686812352788,0.0320108066554237,0.459729429699839,0.52,1.38,1.9,-0.186118639271921,0.01353687890556,8.36,,1,SU,2,VTA,,1.91,4.78,3.0,192.0,492,0.182410135040913,-0.6351797299181741,-1.5026178010471205,0.00037190483970666243,2.82
493,15,12,0.498866485806704,0.259964459907705,1.48704644832419,44.0,5.41981646572912,0.0144869215291751,1.74,1.04,0.6,2636701.84,7590.22,1229,347.34,1231463.32,2012390.99,1.51,1.66,1.1,0,-3.61888236262456,-1.0,0.206047818688372,0.382536502569587,0.229871621771963,0.4,0.37,0.77,-0.0927729091298746,0.115211375214132,1.21,,1,SU,2,VTA,,0.26,0.51,2.0,44.0,493,0.7233082078783429,0.44661641575668576,-0.9615384615384615,0.0002819751535516018,3.17
494,15,12,0.443886483758271,0.310270016100219,0.13222179242794,18.0,5.52802460697197,0.0226757369614512,1.36,1.28,2.6,2156061.66,10418.6,1051,206.92,1195356.14,1551225.83,1.66,1.81,1.09,0,4.04515418576979,-0.819534385057644,3.72073066325862,0.212366295550796,0.596285582364862,0.71,0.65,1.35,-0.197402828187664,0.0491381276480209,5.46,,1,SU,2,VTA,,0.2,0.43,2.0,18.0,494,0.18050364380413525,-0.6389927123917294,-1.15,0.00017307326306987105,3.4699999999999998
495,15,12,0.193560880168308,0.143450794459127,0.019444381239403,60.0,,0.0,3.1,0.99,,3201874.84,6443.79,2102,496.82,1234771.2,2245592.2,1.11,1.26,1.14,0,-5.09035865139126,-1.0,0.147239319782026,0.294059141950279,0.170991897811688,0.25,0.25,0.49,-0.143404914972754,0.161757392743785,1.1,1.0,2,SU,2,VTA,,0.3,0.03,2.0,60.0,495,0.7727622081421242,0.5455244162842483,0.9,0.00040219611611089874,2.37
497,15,12,0.212962585317712,0.0058323817066261,0.0017948659605602,,,0.0,0.82,0.8,,5636491.53,6649.91,2031,847.48,2132711.92,4097782.09,1.14,1.29,1.14,0,-5.52745885849945,-1.0,0.0857408860109683,0.247853948801071,0.168022806716874,0.34,0.28,0.61,-0.0987037169100881,0.138650438755674,1.13,1.0,2,SU,2,VTA,,17.8,12.97,2.0,,497,0.8013758348569501,0.6027516697139,0.2713483146067416,0.00039721415771222496,2.4299999999999997
498,15,12,0.554389971059139,0.285957478587543,11.1135108834625,8.0,1.13111932216297,0.0331897711978466,2.44,0.94,9.4,3870818.87,6571.4,2293,588.95,1391797.6,2694209.08,1.04,1.11,1.06,0,6.53109451610515,-0.642847139486268,5.62192488073938,0.054436534732034,0.569510648164001,0.31,1.9,2.21,-0.626477202022563,0.0112465108744887,19.82,,2,SU,2,VTA,,0.0,0.0,2.0,8.0,498,0.10261301407471068,-0.7947739718505787,,0.0004229788057059299,2.1500000000000004
500,15,12,0.497064736402595,0.273941370353925,48.6854400358707,10.0,1.12124536216238,0.0417639540885295,1.21,0.79,15.4,2979530.87,5669.5,2633,525.44,346696.83,2058829.74,0.95,1.2,1.26,0,-5.10707158016206,-1.0,0.0588772541894877,0.391814582224476,0.141002639774453,0.18,0.22,0.4,-0.176479542364913,0.198830654603496,1.11,,2,SU,2,VTA,,11.91,12.6,2.0,15.4,500,0.7184865087429563,0.43697301748591244,-0.057934508816120944,0.001513266991774462,2.15
501,15,12,0.53433585824603,0.290730529293309,20.048951923785,28.0,0.052314216812916,0.0003133393017009,2.17,0.34,27.4,10695234.25,5819.26,2500,1837.59,3039138.31,7539536.52,0.95,1.11,1.16,0,-5.25280733462407,-1.0,0.0411266130979955,0.372396712401111,0.142656908073361,0.86,0.18,1.04,-0.0371830933249284,0.228732785400184,1.2,,2,SU,2,VTA,,6.64,14.15,3.0,28.0,501,0.7286522846957459,0.4573045693914918,-1.1310240963855422,0.0006042764100826975,2.06
502,15,12,0.122307975183611,0.0583280534060347,3.77250910477094,14.0,0.0,0.0,25.33,0.74,12.0,2693629.4,4438.15,3299,606.79,439317.61,1871679.26,0.8,0.92,1.15,0,-6.81700900848272,-1.0,0.237955494804325,0.21640742545893,0.122516850546012,0.15,0.18,0.34,-0.247591098960866,0.202734570909821,1.08,,2,SU,2,VTA,,0.43,0.17,2.0,14.0,502,0.8077834818755444,0.6155669637510888,0.6046511627906976,0.0013793051715249257,1.7200000000000002
503,15,12,0.502972983235068,0.198809783120671,24.662954019732,10.0,1.3627931095732,0.0397239338217457,14.56,0.86,23.8,4759986.55,6741.93,3356,705.92,686638.74,3295242.01,1.04,1.26,1.21,0,-5.57969552929734,-1.0,0.10751342877223,0.292648052505041,0.142895591032302,0.18,0.37,0.55,-0.184585571462037,0.107720671042086,1.16,,2,SU,2,VTA,,2.16,5.54,3.0,10.0,503,0.7736057761910412,0.5472115523820824,-1.5648148148148149,0.0010270247825886942,2.3
